"","X0"
"341",0.0357142857142857
"342",0.032258064516129
"343",0
"344",0.0344827586206897
"345",0.0285714285714286
"346",0.1
"347",0.238095238095238
"348",0.125
"349",0.0294117647058824
"350",0.0740740740740741
"351",0
"352",0.04
"353",0.032258064516129
"354",0
"355",0.0689655172413793
"356",0.0769230769230769
"357",0.0714285714285714
"358",0
"359",0
"360",0.0689655172413793
"361",0.0967741935483871
"362",0.181818181818182
"363",0
"364",0.0714285714285714
"365",0
"366",0.027027027027027
"367",0.0789473684210526
"368",0.0416666666666667
"369",0.129032258064516
"370",0
"371",0
"372",0.08
"373",0
"374",0.0571428571428571
"375",0.0416666666666667
"376",0
"377",0.027027027027027
"378",0
"379",0.032258064516129
"380",0.0625
"381",0.0344827586206897
"382",0
"383",0
"384",0
"385",0.0357142857142857
"386",0
"387",0.0740740740740741
"388",0
"389",0
"390",0.037037037037037
"391",0.032258064516129
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0.103448275862069
"399",0.0769230769230769
"400",0.0833333333333333
"401",0.0882352941176471
"402",0.0666666666666667
"403",0.08
"404",0.125
"405",0.027027027027027
"406",0.08
"407",0.0740740740740741
"408",0.0333333333333333
"409",0
"410",0
"411",0
"412",0.147058823529412
"413",0.0212765957446809
"414",0.0645161290322581
"415",0
"416",0.08
"417",0.0882352941176471
"418",0.125
"419",0.0625
"420",0.0526315789473684
"421",0.0434782608695652
"422",0.166666666666667
"423",0
"424",0.277777777777778
"425",0.0333333333333333
"426",0.205882352941176
"427",0.0357142857142857
"428",0.03125
"429",0.0416666666666667
"430",0.0714285714285714
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0.0303030303030303
"437",0
"438",0
"439",0
"440",0
"441",0.2
"442",0.212121212121212
"443",0
"444",0
"445",0.0645161290322581
"446",0.114285714285714
"447",0.125
"448",0.230769230769231
"449",0.166666666666667
"450",0.09375
"451",0
"452",0.0689655172413793
"453",0.0333333333333333
"454",0.133333333333333
"455",0.0555555555555556
"456",0.125
"457",0.115384615384615
"458",0
"459",0.0344827586206897
"460",0.0526315789473684
"461",0.0666666666666667
"462",0.032258064516129
"463",0.0434782608695652
"464",0.0645161290322581
"465",0.0952380952380952
"466",0.0645161290322581
"467",0.103448275862069
"468",0
"469",0.0606060606060606
"470",0.261904761904762
"471",0
"472",0.0789473684210526
"473",0
"474",0.0909090909090909
"475",0.0357142857142857
"476",0.0645161290322581
"477",0.08
"478",0
"479",0
"480",0.138888888888889
"481",0
"482",0.0263157894736842
"483",0.04
"484",0
"485",0.027027027027027
"486",0
"487",0
"488",0
"489",0
"490",0.0666666666666667
"491",0
"492",0.0263157894736842
"493",0
"494",0.0333333333333333
"495",0.0344827586206897
"496",0.133333333333333
"497",0.0869565217391304
"498",0.0294117647058824
"499",0.0384615384615385
"500",0.0294117647058824
